Date,Close
2025-03-27,143420.0
2025-03-28,145550.0
2025-03-31,149000.0
2025-04-01,149390.0
2025-04-02,147380.0
2025-04-03,148000.0
2025-04-04,143990.0
2025-04-07,142400.0
2025-04-08,142850.0
2025-04-09,144600.0
2025-04-10,146500.0
2025-04-11,149080.0
2025-04-14,148400.0
2025-04-15,148250.0
2025-04-16,151030.0
2025-04-17,152050.0
2025-04-18,152260.0
2025-04-21,154820.0
2025-04-22,159390.0
2025-04-23,152380.0
2025-04-24,153700.0
2025-04-25,152940.0
2025-04-28,152790.0
2025-04-29,153310.0
2025-04-30,151800.0
2025-05-02,148270.0
2025-05-07,152880.0
2025-05-08,150480.0
2025-05-09,149940.0
2025-05-12,148460.0
2025-05-13,148410.0
2025-05-14,147720.0
2025-05-15,141790.0
2025-05-16,144440.0
2025-05-19,145500.0
2025-05-20,144400.0
2025-05-21,147960.0
2025-05-22,148100.0
2025-05-23,147360.0
2025-05-26,147000.0
2025-05-27,146600.0
2025-05-28,146270.0
2025-05-29,145190.0
2025-05-30,146350.0
2025-06-02,147400.0
2025-06-04,147830.0
2025-06-05,147310.0
2025-06-09,145220.0
2025-06-10,146200.0
2025-06-11,147320.0
2025-06-12,147090.0
2025-06-13,150530.0
2025-06-16,149710.0
2025-06-17,148720.0
2025-06-18,148980.0
2025-06-19,149000.0
2025-06-20,147970.0
2025-06-23,149750.0
2025-06-24,146020.0
2025-06-25,146440.0
2025-06-26,145990.0
2025-06-27,144400.0
2025-06-30,143290.0
2025-07-01,145640.0
2025-07-02,146220.0
2025-07-03,147540.0
2025-07-04,146960.0
2025-07-07,146190.0
2025-07-08,147180.0
2025-07-09,145830.0
2025-07-10,147150.0
2025-07-11,148200.0
2025-07-14,149410.0
2025-07-15,149270.0
2025-07-16,149070.0
2025-07-17,149350.0
2025-07-18,149500.0
2025-07-21,150400.0
2025-07-22,150900.0
2025-07-23,151810.0
2025-07-24,148510.0
2025-07-25,148690.0
2025-07-28,148370.0
2025-07-29,148490.0
2025-07-30,147910.0
2025-07-31,147560.0
2025-08-01,148540.0
2025-08-04,149610.0
2025-08-05,150570.0
2025-08-06,150930.0
2025-08-07,150840.0
2025-08-08,153190.0
2025-08-11,150810.0
2025-08-12,149550.0
2025-08-13,149250.0
2025-08-14,149800.0
2025-08-18,149670.0
2025-08-19,149680.0
2025-08-20,149870.0
2025-08-21,150260.0
2025-08-22,149390.0
2025-08-25,150400.0
2025-08-26,151680.0
2025-08-27,152090.0
2025-08-28,151920.0
2025-08-29,152860.0
2025-09-01,156840.0
2025-09-02,157180.0
2025-09-03,158840.0
2025-09-04,158870.0
2025-09-05,159430.0
2025-09-08,161690.0
2025-09-09,167740.0
2025-09-10,165110.0
2025-09-11,165680.0
2025-09-12,165100.0
2025-09-15,166600.0
2025-09-16,169000.0
2025-09-17,171400.0
2025-09-18,169020.0
2025-09-19,168200.0
2025-09-22,171500.0
2025-09-23,175300.0
2025-09-24,177960.0
2025-09-25,177500.0
2025-09-26,179800.0
2025-09-29,185390.0
2025-09-30,194850.0
2025-10-01,191310.0
2025-10-02,187300.0
2025-10-10,199730.0
2025-10-13,209660.0
2025-10-14,219900.0
2025-10-15,227000.0
2025-10-16,218020.0
2025-10-17,222000.0
2025-10-20,210000.0
2025-10-21,208920.0
2025-10-22,197490.0
2025-10-23,197860.0
2025-10-24,194590.0
2025-10-27,189170.0
2025-10-28,182830.0
2025-10-29,185850.0
2025-10-30,183600.0
2025-10-31,188750.0
2025-11-03,188040.0
2025-11-04,189990.0
2025-11-05,189770.0
2025-11-06,191990.0
2025-11-07,194680.0
2025-11-10,195680.0
2025-11-11,199230.0
2025-11-12,200370.0
2025-11-13,204830.0
2025-11-14,199980.0
2025-11-17,193470.0
2025-11-18,190800.0
2025-11-19,194350.0
2025-11-20,193800.0
2025-11-21,192500.0
2025-11-24,193450.0
2025-11-25,197300.0
2025-11-26,196700.0
2025-11-27,196800.0
2025-11-28,198890.0
2025-12-01,200880.0
2025-12-02,200370.0
2025-12-03,200110.0
2025-12-04,199530.0
2025-12-05,200980.0
2025-12-08,200700.0
2025-12-09,199390.0
2025-12-10,200180.0
2025-12-11,200150.0
2025-12-12,203390.0
2025-12-15,206340.0
2025-12-16,204490.0
2025-12-17,207140.0
2025-12-18,207000.0
2025-12-19,206780.0
2025-12-22,210570.0
2025-12-23,215640.0
2025-12-24,216720.0
2025-12-26,213540.0
2025-12-29,208910.0
2025-12-30,206190.0
2026-01-02,208800.0
2026-01-05,211250.0
2026-01-06,211280.0
2026-01-07,209280.0
2026-01-08,207500.0
2026-01-09,210240.0
2026-01-12,216200.0
2026-01-13,217850.0
2026-01-14,220460.0
2026-01-15,218580.0
2026-01-16,218720.0
2026-01-19,221930.0
2026-01-20,224700.0
2026-01-21,231000.0
2026-01-22,229700.0
2026-01-23,234100.0
2026-01-26,238000.0
2026-01-27,243650.0
2026-01-28,251640.0
2026-01-29,269810.0
2026-01-30,253000.0
2026-02-02,227700.0
2026-02-03,236090.0
2026-02-04,243520.0
2026-02-05,235440.0
2026-02-06,231530.0
2026-02-09,237390.0
2026-02-10,237110.0
2026-02-11,236640.0
2026-02-12,235700.0
2026-02-13,231050.0
2026-02-19,233270.0
2026-02-20,234040.0
2026-02-23,239500.0
2026-02-24,240900.0
2026-02-25,238910.0
2026-02-26,237560.0
2026-02-27,239300.0
2026-03-03,249200.0
2026-03-04,243110.0
2026-03-05,241600.0
2026-03-06,241680.0
2026-03-09,242520.0
2026-03-10,242710.0
2026-03-11,244000.0
2026-03-12,244190.0
2026-03-13,243800.0
2026-03-16,240400.0
2026-03-17,239550.0
2026-03-18,237040.0
2026-03-19,231420.0
2026-03-20,226340.0
2026-03-23,208530.0
2026-03-24,211500.0
2026-03-25,219940.0
2026-03-26,214990.0
2026-03-27,216420.0
2026-03-30,220740.0
2026-03-31,224970.0
2026-04-01,228000.0
2026-04-02,223250.0
2026-04-03,227340.0
2026-04-06,225850.0
2026-04-07,224360.0
2026-04-08,228850.0
2026-04-09,225310.0
2026-04-10,226700.0
2026-04-13,226170.0
2026-04-14,226820.0
2026-04-15,228210.0
2026-04-16,228600.0
2026-04-17,228000.0
2026-04-20,227220.0
2026-04-21,225750.0
2026-04-22,225780.0
2026-04-23,223920.0
2026-04-24,222770.0
2026-04-27,221630.0
2026-04-28,218730.0
2026-04-29,217060.0
